

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
100.789  000.058  000.058: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/ftplugin/c.vim
101.975  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/ftplugin/c.lua
102.382  000.014  000.014: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/indent/c.vim
102.544  000.073  000.073: require('luasnip.loaders.from_lua')
102.615  000.055  000.055: require('luasnip.loaders.from_snipmate')
102.668  000.048  000.048: require('luasnip.loaders.from_vscode')
108.474  000.038  000.038: require('vim.fs')
108.663  000.147  000.147: require('null-ls.rpc')
110.182  000.123  000.123: require('vim.uri')
231.813  000.110  000.110: require('editorconfig')
232.066  134.065: opening buffers
233.259  001.193: BufEnter autocommands
233.261  000.003: editing files in windows
233.571  000.075  000.075: require('which-key.plugins')
233.628  000.053  000.053: require('which-key.plugins.marks')
233.688  000.057  000.057: require('which-key.mappings')
234.146  000.098  000.098: require('which-key.plugins.registers')
234.323  000.074  000.074: require('which-key.plugins.presets')
234.381  000.056  000.056: require('which-key.plugins.presets.misc')
234.517  000.062  000.062: require('which-key.plugins.spelling')
234.609  000.046  000.046: require('which-key.colors')
238.495  004.714: VimEnter autocommands
238.527  000.031: UIEnter autocommands
238.528  000.001: before starting main loop
243.389  004.861: first screen update
243.391  000.002: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.008  000.008: --- NVIM STARTING ---
000.097  000.089: event init
000.263  000.165: early init
002.317  002.054: locale set
002.375  000.059: init first window
002.810  000.435: inits 1
002.824  000.014: window checked
004.181  001.357: parsing arguments
004.659  000.050  000.050: require('vim.shared')
004.779  000.046  000.046: require('vim._meta')
004.781  000.118  000.072: require('vim._editor')
004.782  000.235  000.068: require('vim._init_packages')
004.785  000.368: init lua interpreter
005.164  000.379: expanding arguments
005.183  000.019: inits 2
005.521  000.337: init highlight


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.074  000.068: event init
000.180  000.105: early init
000.735  000.555: locale set
000.803  000.068: init first window
001.258  000.455: inits 1
001.289  000.031: window checked
001.535  000.246: parsing arguments
002.100  000.103  000.103: require('vim.shared')
002.235  000.046  000.046: require('vim._meta')
002.238  000.135  000.088: require('vim._editor')
002.240  000.278  000.040: require('vim._init_packages')
002.242  000.430: init lua interpreter
004.440  002.198: expanding arguments
004.468  000.028: inits 2
004.814  000.346: init highlight
004.815  000.001: waiting for UI
004.962  000.147: done waiting for UI
004.967  000.005: clear screen
005.165  000.197: init default mappings & autocommands
005.756  000.069  000.069: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/ftplugin.vim
005.847  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/indent.vim
006.813  000.602  000.602: require('lazy')
006.922  000.107  000.107: require('helpers.keys')
006.936  000.009  000.009: require('vim.keymap')
006.978  000.015  000.015: require('ffi')
007.014  000.034  000.034: require('vim.loader')
007.525  000.507  000.507: require('lazy.core.cache')
007.734  000.177  000.177: require('lazy.stats')
007.942  000.159  000.159: require('lazy.core.util')
008.186  000.241  000.241: require('lazy.core.config')
008.396  000.085  000.085: require('lazy.core.handler')
008.527  000.128  000.128: require('lazy.core.plugin')
008.533  000.345  000.132: require('lazy.core.loader')
008.980  000.166  000.166: require('plugins.buffer')
009.138  000.067  000.067: require('plugins.git')
009.421  000.266  000.266: require('plugins.telescope')
009.495  000.060  000.060: require('plugins.themes')
009.688  000.185  000.185: require('plugins.treesitter')
009.799  000.088  000.088: require('plugins.ui')
010.331  000.089  000.089: require('lazy.core.handler.event')
010.334  000.178  000.089: require('lazy.core.handler.ft')
010.451  000.103  000.103: require('lazy.core.handler.cmd')
010.575  000.082  000.082: require('lazy.core.handler.keys')
011.108  000.245  000.245: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/filetype.lua
012.116  000.194  000.194: require('tokyonight.treesitter')
012.121  000.551  000.356: require('tokyonight.util')
012.425  000.117  000.117: require('tokyonight.colors')
012.428  000.305  000.188: require('tokyonight.theme')
012.545  000.116  000.116: require('tokyonight.config')
012.547  001.312  000.340: require('tokyonight')
012.828  000.052  000.052: sourcing /Users/v/.local/share/nvim/lazy/close-buffers.nvim/plugin/close-buffers.vim
013.442  000.082  000.082: require('close_buffers.config')
013.445  000.228  000.146: require('close_buffers.buffers')
013.447  000.568  000.339: require('close_buffers')
013.751  000.027  000.027: sourcing /Users/v/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
013.921  000.049  000.049: sourcing /Users/v/.local/share/nvim/lazy/trouble.nvim/plugin/trouble.vim
015.223  000.379  000.379: require('trouble.config')
015.229  000.524  000.145: require('trouble.util')
015.347  000.117  000.117: require('trouble.providers.qf')
015.475  000.126  000.126: require('trouble.providers.telescope')
016.409  000.360  000.360: require('vim.lsp.log')
017.015  000.603  000.603: require('vim.lsp.protocol')
017.264  000.100  000.100: require('vim.lsp._snippet')
017.360  000.094  000.094: require('vim.highlight')
017.367  000.004  000.004: require('vim.F')
017.381  000.364  000.166: require('vim.lsp.util')
017.390  001.539  000.212: require('vim.lsp.handlers')
017.521  000.130  000.130: require('vim.lsp.rpc')
017.613  000.089  000.089: require('vim.lsp.sync')
017.730  000.115  000.115: require('vim.lsp.semantic_tokens')
017.855  000.124  000.124: require('vim.lsp.buf')
017.956  000.099  000.099: require('vim.lsp.diagnostic')
018.041  000.083  000.083: require('vim.lsp.codelens')
018.163  002.591  000.412: require('vim.lsp')
018.230  002.754  000.163: require('trouble.providers.lsp')
018.299  000.068  000.068: require('trouble.providers.diagnostic')
018.303  003.699  000.111: require('trouble.providers')
018.363  000.059  000.059: require('trouble.text')
018.418  000.054  000.054: require('trouble.folds')
018.421  004.002  000.190: require('trouble.renderer')
018.431  004.128  000.126: require('trouble.view')
018.521  000.088  000.088: require('trouble.colors')
018.732  000.179  000.179: require('vim.diagnostic')
018.760  004.785  000.390: require('trouble')
019.350  000.128  000.128: require('lualine_require')
019.653  000.754  000.626: require('lualine')
020.282  000.115  000.115: require('lualine.highlight')
023.610  000.113  000.113: require('lualine.utils.mode')
026.532  000.011  000.011: sourcing /Users/v/.local/share/nvim/lazy/which-key.nvim/plugin/which-key.vim
027.250  000.063  000.063: require('which-key.util')
027.254  000.136  000.073: require('which-key.tree')
027.328  000.072  000.072: require('which-key.config')
027.333  000.489  000.281: require('which-key.keys')
027.336  000.788  000.299: require('which-key')
028.535  000.059  000.059: require('vim.treesitter.language')
028.541  000.137  000.078: require('vim.treesitter.query')
028.607  000.064  000.064: require('vim.treesitter._range')
028.612  000.307  000.106: require('vim.treesitter.languagetree')
028.617  000.380  000.073: require('vim.treesitter')
028.621  000.450  000.070: require('nvim-treesitter.compat')
029.294  000.530  000.530: require('nvim-treesitter.parsers')
029.397  000.102  000.102: require('nvim-treesitter.utils')
029.401  000.720  000.089: require('nvim-treesitter.ts_utils')
029.405  000.783  000.062: require('nvim-treesitter.tsrange')
029.460  000.054  000.054: require('nvim-treesitter.caching')
029.467  001.395  000.108: require('nvim-treesitter.query')
029.476  001.509  000.114: require('nvim-treesitter.configs')
029.478  001.773  000.264: require('nvim-treesitter-textobjects')
029.705  000.078  000.078: require('nvim-treesitter.info')
029.815  000.109  000.109: require('nvim-treesitter.shell_command_selectors')
029.850  000.319  000.131: require('nvim-treesitter.install')
029.928  000.076  000.076: require('nvim-treesitter.statusline')
030.008  000.078  000.078: require('nvim-treesitter.query_predicates')
030.010  000.531  000.058: require('nvim-treesitter')
030.183  000.100  000.100: require('nvim-treesitter.textobjects.shared')
030.187  000.170  000.070: require('nvim-treesitter.textobjects.select')
030.333  000.065  000.065: require('nvim-treesitter.textobjects.attach')
030.420  000.086  000.086: require('nvim-treesitter.textobjects.repeatable_move')
030.425  000.220  000.069: require('nvim-treesitter.textobjects.move')
030.619  000.071  000.071: require('nvim-treesitter.textobjects.swap')
030.715  000.068  000.068: require('nvim-treesitter.textobjects.lsp_interop')
030.725  003.031  000.199: sourcing /Users/v/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
031.111  000.306  000.306: sourcing /Users/v/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
032.336  000.096  000.096: require('nvim-treesitter.locals')
032.341  000.176  000.081: require('nvim-treesitter.incremental_selection')
032.498  000.089  000.089: require('nvim-treesitter.indent')
032.578  000.061  000.061: require('nvim-treesitter.highlight')
033.060  000.065  000.065: require('Comment.config')
033.360  000.238  000.238: require('Comment.ft')
033.369  000.307  000.070: require('Comment.utils')
033.509  000.139  000.139: require('Comment.opfunc')
033.654  000.144  000.144: require('Comment.extra')
033.661  000.939  000.283: require('Comment.api')
033.818  001.136  000.197: sourcing /Users/v/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
034.012  000.123  000.123: require('Comment')
034.504  000.055  000.055: require('git-conflict.colors')
034.551  000.046  000.046: require('git-conflict.utils')
034.565  000.416  000.316: require('git-conflict')
035.004  000.264  000.264: require('mini.move')
035.598  000.300  000.300: sourcing /Users/v/.local/share/nvim/lazy/vim-surround/plugin/surround.vim
035.882  000.058  000.058: sourcing /Users/v/.local/share/nvim/lazy/scrollfix/plugin/scrollfix.vim
036.365  000.296  000.296: sourcing /Users/v/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
036.850  000.272  000.272: require('oil')
037.031  000.180  000.180: require('oil.config')
037.957  000.829  000.829: require('vim.filetype')
038.433  000.111  000.111: require('oil.util')
038.931  000.055  000.055: require('gitsigns.async')
039.078  000.068  000.068: require('gitsigns.message')
039.088  000.155  000.087: require('gitsigns.config')
039.160  000.070  000.070: require('gitsigns.debug.log')
039.209  000.048  000.048: require('gitsigns.uv')
039.213  000.618  000.289: require('gitsigns')
039.406  000.039  000.039: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/editorconfig.lua
039.568  000.113  000.113: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/gzip.vim
039.613  000.006  000.006: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/health.vim
039.678  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/man.lua
040.272  000.122  000.122: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
040.352  000.644  000.522: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/matchit.vim
040.491  000.108  000.108: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/matchparen.vim
040.744  000.222  000.222: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/netrwPlugin.vim
040.809  000.029  000.029: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/nvim.lua
040.951  000.102  000.102: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/rplugin.vim
041.067  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/shada.vim
041.117  000.012  000.012: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/spellfile.vim
041.217  000.064  000.064: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/tarPlugin.vim
041.310  000.058  000.058: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/tohtml.vim
041.363  000.010  000.010: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/tutor.vim
041.490  000.091  000.091: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/plugin/zipPlugin.vim
041.559  035.572  013.491: require('core.lazy')
041.813  000.057  000.057: require('helpers.buffers')
041.887  000.326  000.270: require('core.keymaps')
041.983  000.040  000.040: require('helpers.colorscheme')
043.074  000.063  000.063: require('vim.treesitter.highlighter')
043.718  001.007  000.944: sourcing /Users/v/.local/share/nvim/lazy/tokyonight.nvim/colors/tokyonight.lua
045.078  003.190  002.143: require('core.options')
045.080  039.112  000.024: sourcing /Users/v/.config/nvim/init.lua
045.085  000.706: sourcing vimrc file(s)
045.291  000.037  000.037: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/filetype.lua
045.489  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/syntax/synload.vim
045.535  000.185  000.138: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/syntax/syntax.vim
045.542  000.234: inits 3
047.241  001.698: reading ShaDa
049.192  000.066  000.066: require('cmp_nvim_lsp.source')
049.198  000.413  000.348: require('cmp_nvim_lsp')
049.208  000.470  000.056: sourcing /Users/v/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
049.527  000.205  000.205: require('vim.version')
050.488  001.217  001.012: sourcing /Users/v/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
050.649  000.062  000.062: require('mason-core.path')
050.843  000.111  000.111: require('mason-core.functional')
050.970  000.052  000.052: require('mason-core.functional.data')
050.985  000.120  000.068: require('mason-core.functional.function')
051.051  000.059  000.059: require('mason-core.functional.relation')
051.136  000.052  000.052: require('mason-core.functional.logic')
051.149  000.498  000.157: require('mason-core.platform')
051.206  000.056  000.056: require('mason.settings')
051.207  000.691  000.075: require('mason')
051.371  000.086  000.086: require('mason-core.functional.list')
051.435  000.058  000.058: require('mason-core.functional.string')
051.453  000.237  000.092: require('mason.api.command')
051.513  000.057  000.057: require('mason-registry.sources')
051.664  000.080  000.080: require('mason-core.log')
051.715  000.047  000.047: require('mason-lspconfig.settings')
051.717  000.198  000.070: require('mason-lspconfig')
051.826  000.047  000.047: require('mason-lspconfig.notify')
051.828  000.104  000.056: require('mason-lspconfig.lspconfig_hook')
052.010  000.181  000.181: require('lspconfig.util')
052.155  000.079  000.079: require('mason-core.functional.table')
052.185  000.175  000.095: require('mason-lspconfig.mappings.server')
052.321  000.056  000.056: require('mason-core.EventEmitter')
052.373  000.051  000.051: require('mason-core.optional')
052.489  000.073  000.073: require('mason-core.async')
052.537  000.045  000.045: require('mason-core.async.uv')
052.545  000.171  000.053: require('mason-core.fs')
052.563  000.373  000.095: require('mason-registry')
052.610  000.046  000.046: require('mason-lspconfig.server_config_extensions')
052.674  000.063  000.063: require('lspconfig.configs')
052.759  000.085  000.085: require('lspconfig.server_configurations.omnisharp')
052.873  000.053  000.053: require('mason-lspconfig.ensure_installed')
053.160  000.068  000.068: require('mason-core.result')
053.305  000.283  000.215: require('mason-core.purl')
053.334  000.395  000.112: require('mason-core.package')
053.764  000.219  000.219: require('mason-core.process')
053.973  000.209  000.209: require('mason-core.spawn')
053.983  000.553  000.125: require('mason-core.managers.powershell')
053.984  000.649  000.096: require('mason-core.fetch')
054.097  000.112  000.112: require('mason-core.providers')
054.500  000.122  000.122: require('mason-core.installer.registry.expr')
054.505  000.292  000.170: require('mason-core.installer.registry.link')
054.712  000.040  000.040: require('mason-core.receipt')
054.724  000.093  000.054: require('mason-core.installer.context')
054.760  000.035  000.035: require('mason-core.async.control')
054.801  000.040  000.040: require('mason-core.installer.linker')
054.804  000.221  000.053: require('mason-core.installer')
054.813  000.272  000.051: require('mason-core.installer.managers.std')
054.814  000.308  000.036: require('mason-core.installer.registry.schemas')
054.818  000.720  000.121: require('mason-core.installer.registry')
054.823  001.944  000.068: require('mason-registry.sources.github')
058.345  000.043  000.043: require('mason-core.functional.number')
058.358  000.105  000.062: require('mason-lspconfig.api.command')
058.415  000.040  000.040: require('neodev')
058.458  000.037  000.037: require('neodev.config')
058.544  000.042  000.042: require('neodev.util')
058.545  000.080  000.039: require('neodev.lsp')
059.134  000.088  000.088: require('fidget.log')
059.138  000.143  000.055: require('fidget')
059.229  000.050  000.050: require('fidget.spinners')
059.334  000.039  000.039: require('lspconfig')
059.370  000.035  000.035: require('lspconfig.server_configurations.lua_ls')
059.763  000.035  000.035: require('lspconfig.server_configurations.pylsp')
059.937  000.060  000.060: require('mason-core.managers.pip3')
059.939  000.103  000.043: require('mason-lspconfig.server_configurations.pylsp')
060.267  000.021  000.021: sourcing /Users/v/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
060.793  000.037  000.037: require('diffview.lazy')
060.930  000.035  000.035: require('diffview.ffi')
060.967  000.036  000.036: require('diffview.oop')
060.974  000.126  000.056: require('diffview.async')
061.021  000.037  000.037: require('diffview.mock')
061.027  000.225  000.061: require('diffview.logger')
061.071  000.039  000.039: require('diffview.control')
061.159  000.046  000.046: require('diffview.events')
061.161  000.620  000.273: require('diffview.bootstrap')
061.171  000.687  000.066: sourcing /Users/v/.local/share/nvim/lazy/diffview.nvim/plugin/diffview.lua
061.268  000.036  000.036: sourcing /Users/v/.local/share/nvim/lazy/neogit/plugin/neogit.lua
061.356  000.040  000.040: require('neogit.config')
061.521  000.032  000.032: require('plenary.tbl')
061.523  000.065  000.033: require('plenary.vararg.rotate')
061.524  000.098  000.033: require('plenary.vararg')
061.555  000.031  000.031: require('plenary.errors')
061.592  000.036  000.036: require('plenary.functional')
061.593  000.202  000.037: require('plenary.async.async')
061.729  000.037  000.037: require('plenary.async.structs')
061.732  000.076  000.039: require('plenary.async.control')
061.734  000.109  000.033: require('plenary.async.util')
061.736  000.141  000.032: require('plenary.async.tests')
061.737  000.380  000.037: require('plenary.async')
061.892  000.038  000.038: require('neogit.lib.notification')
061.974  000.053  000.053: require('plenary.log')
061.998  000.104  000.052: require('neogit.logger')
062.117  000.033  000.033: require('neogit.lib.mappings_manager')
062.237  000.040  000.040: require('neogit.lib.util')
062.238  000.081  000.041: require('neogit.lib.ui.component')
062.241  000.124  000.043: require('neogit.lib.ui')
062.276  000.031  000.031: require('neogit.lib.uv')
062.277  000.237  000.049: require('neogit.lib.buffer')
062.280  000.281  000.044: require('neogit.process')
062.292  000.496  000.072: require('neogit.lib.git.cli')
062.355  000.030  000.030: require('neogit.lib.input')
062.356  000.064  000.033: require('neogit.lib.git.init')
062.451  000.053  000.053: require('neogit.lib.git.stash')
062.526  000.074  000.074: require('neogit.lib.collection')
062.527  000.171  000.044: require('neogit.lib.git.status')
062.657  000.048  000.048: require('neogit.lib.md5')
062.659  000.088  000.040: require('neogit.lib.git.diff')
062.661  000.133  000.045: require('neogit.lib.git.log')
062.703  000.042  000.042: require('neogit.lib.git.branch')
062.799  000.031  000.031: require('neogit.lib.rpc')
062.801  000.063  000.033: require('neogit.client')
062.802  000.098  000.034: require('neogit.lib.git.rebase')
062.803  001.038  000.035: require('neogit.lib.git')
063.010  000.035  000.035: require('plenary.bit')
063.019  000.103  000.067: require('plenary.path')
063.020  000.143  000.040: require('neogit.lib.state')
063.022  000.176  000.033: require('neogit.lib.popup.builder')
063.091  000.069  000.069: require('neogit.buffers.common')
063.151  000.057  000.057: require('neogit.lib.popup.lib')
063.152  000.348  000.047: require('neogit.lib.popup')
063.153  001.416  000.030: require('neogit.lib')
063.188  000.034  000.034: require('neogit.lib.signs')
063.274  000.048  000.048: require('neogit.lib.color')
063.275  000.086  000.038: require('neogit.lib.hl')
063.383  000.033  000.033: require('neogit.buffers.git_command_history')
063.453  000.032  000.032: require('neogit.buffers.commit_view.parsing')
063.486  000.032  000.032: require('neogit.buffers.commit_view.ui')
063.487  000.103  000.039: require('neogit.buffers.commit_view')
063.552  000.030  000.030: require('neogit.lib.git.pull')
063.587  000.034  000.034: require('neogit.lib.git.push')
063.624  000.036  000.036: require('neogit.lib.git.merge')
063.625  000.137  000.037: require('neogit.lib.git.repository')
063.658  000.032  000.032: require('neogit.lib.functional')
063.687  000.028  000.028: require('neogit.lib.line_buffer')
063.720  000.032  000.032: require('neogit.lib.fs')
063.736  000.460  000.094: require('neogit.status')
063.806  000.038  000.038: require('neogit.popups.commit')
063.910  000.036  000.036: require('neogit.buffers.log_view.ui')
063.911  000.071  000.035: require('neogit.buffers.log_view')
063.912  000.106  000.035: require('neogit.popups.log')
063.951  000.038  000.038: require('neogit.popups.push')
063.984  000.032  000.032: require('neogit.popups.pull')
064.016  000.031  000.031: require('neogit.popups.stash')
064.066  000.035  000.035: require('neogit.popups.help')
064.130  000.031  000.031: require('neogit.lib.git.fetch')
064.131  000.064  000.033: require('neogit.popups.fetch')
064.132  000.395  000.050: require('neogit.popups')
064.202  000.025  000.025: require('vim.inspect')
064.273  000.036  000.036: require('neogit.autocmds')
064.280  003.002  000.129: require('neogit')
065.008  000.034  000.034: require('cmp.utils.debug')
065.092  000.049  000.049: require('cmp.utils.char')
065.096  000.086  000.037: require('cmp.utils.str')
065.160  000.064  000.064: require('cmp.utils.pattern')
065.299  000.063  000.063: require('cmp.utils.misc')
065.348  000.048  000.048: require('cmp.utils.buffer')
065.393  000.045  000.045: require('cmp.utils.api')
065.397  000.204  000.048: require('cmp.utils.keymap')
065.399  000.238  000.034: require('cmp.utils.feedkeys')
065.642  000.037  000.037: require('cmp.types.cmp')
065.716  000.074  000.074: require('cmp.types.lsp')
065.755  000.038  000.038: require('cmp.types.vim')
065.756  000.194  000.044: require('cmp.types')
065.758  000.246  000.052: require('cmp.config.mapping')
065.799  000.040  000.040: require('cmp.utils.cache')
065.907  000.055  000.055: require('cmp.config.compare')
065.908  000.108  000.053: require('cmp.config.default')
065.920  000.471  000.078: require('cmp.config')
065.926  000.526  000.055: require('cmp.utils.async')
065.968  000.042  000.042: require('cmp.context')
066.153  000.066  000.066: require('cmp.matcher')
066.158  000.142  000.075: require('cmp.entry')
066.162  000.193  000.052: require('cmp.source')
066.254  000.047  000.047: require('cmp.utils.event')
066.405  000.048  000.048: require('cmp.utils.options')
066.407  000.105  000.057: require('cmp.utils.window')
066.408  000.153  000.048: require('cmp.view.docs_view')
066.522  000.056  000.056: require('cmp.utils.autocmd')
066.527  000.118  000.062: require('cmp.view.custom_entries_view')
066.588  000.060  000.060: require('cmp.view.wildmenu_entries_view')
066.644  000.056  000.056: require('cmp.view.native_entries_view')
066.708  000.063  000.063: require('cmp.view.ghost_text_view')
066.714  000.551  000.055: require('cmp.view')
066.999  002.078  000.344: require('cmp.core')
067.099  000.046  000.046: require('cmp.config.sources')
067.139  000.039  000.039: require('cmp.config.window')
067.165  002.493  000.330: require('cmp')
067.220  000.054  000.054: require('cmp_nvim_lua')
067.230  002.584  000.036: sourcing /Users/v/.local/share/nvim/lazy/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
067.786  000.050  000.050: require('cmp_buffer.timer')
067.789  000.115  000.064: require('cmp_buffer.buffer')
067.791  000.158  000.043: require('cmp_buffer.source')
067.792  000.387  000.229: require('cmp_buffer')
067.803  000.426  000.039: sourcing /Users/v/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
068.188  000.268  000.268: require('cmp_path')
068.199  000.302  000.035: sourcing /Users/v/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
068.792  000.050  000.050: require('luasnip.util.types')
068.840  000.047  000.047: require('luasnip.util.ext_opts')
069.370  000.085  000.085: require('luasnip.session')
069.399  000.517  000.432: require('luasnip.util.util')
069.403  000.562  000.045: require('luasnip.extras.filetype_functions')
069.494  001.025  000.365: require('luasnip.config')
069.691  000.051  000.051: require('luasnip.session.snippet_collection.source')
069.695  000.123  000.072: require('luasnip.session.snippet_collection')
069.871  000.138  000.138: require('luasnip.util._builtin_vars')
069.915  000.219  000.081: require('luasnip.util.environ')
070.058  000.143  000.143: require('luasnip.util.extend_decorator')
070.212  000.083  000.083: require('luasnip.loaders._caches')
070.325  000.113  000.113: require('luasnip.util.path')
070.334  000.275  000.079: require('luasnip.loaders')
070.455  000.108  000.108: require('luasnip.util.log')
070.480  000.981  000.113: require('luasnip')
070.506  002.214  000.208: sourcing /Users/v/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
070.579  000.017  000.017: sourcing /Users/v/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
071.133  000.343  000.343: require('cmp_luasnip')
071.159  000.413  000.071: sourcing /Users/v/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
071.508  000.104  000.104: require('cmp.utils.highlight')
071.754  000.415  000.311: sourcing /Users/v/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
072.113  000.214  000.214: require('luasnip.loaders.util')
072.591  000.030  000.030: require('luasnip.nodes.key_indexer')
072.593  000.064  000.034: require('luasnip.nodes.util')
072.625  000.031  000.031: require('luasnip.util.events')
072.630  000.222  000.128: require('luasnip.nodes.node')
072.692  000.062  000.062: require('luasnip.nodes.insertNode')
072.731  000.038  000.038: require('luasnip.nodes.textNode')
072.773  000.041  000.041: require('luasnip.util.mark')
072.806  000.032  000.032: require('luasnip.util.pattern_tokenizer')
072.842  000.035  000.035: require('luasnip.util.dict')
072.867  000.600  000.170: require('luasnip.nodes.snippet')
072.977  000.034  000.034: require('luasnip.util.parser.neovim_ast')
073.013  000.035  000.035: require('luasnip.util.str')
073.470  000.034  000.034: require('luasnip.util.directed_graph')
073.473  000.565  000.461: require('luasnip.util.parser.ast_utils')
073.517  000.044  000.044: require('luasnip.nodes.functionNode')
073.584  000.066  000.066: require('luasnip.nodes.choiceNode')
073.633  000.048  000.048: require('luasnip.nodes.dynamicNode')
073.667  000.033  000.033: require('luasnip.util.functions')
073.670  000.802  000.046: require('luasnip.util.parser.ast_parser')
073.727  000.055  000.055: require('luasnip.util.parser.neovim_parser')
073.730  001.553  000.095: require('luasnip.util.parser')
073.732  001.618  000.065: require('luasnip.nodes.snippetProxy')
073.807  000.073  000.073: require('luasnip.util.jsonc')
073.810  002.034  000.129: require('luasnip/loaders/from_vscode')
078.259  000.057  000.057: require('null-ls.utils')
078.266  000.111  000.054: require('null-ls.config')
078.340  000.037  000.037: require('null-ls.helpers.cache')
078.379  000.038  000.038: require('null-ls.helpers.diagnostics')
078.414  000.033  000.033: require('null-ls.helpers.formatter_factory')
078.495  000.034  000.034: require('null-ls.logger')
078.533  000.037  000.037: require('null-ls.state')
078.534  000.119  000.049: require('null-ls.helpers.generator_factory')
078.605  000.034  000.034: require('null-ls.helpers.command_resolver')
078.606  000.071  000.037: require('null-ls.helpers.make_builtin')
078.640  000.033  000.033: require('null-ls.helpers.range_formatting_args_factory')
078.641  000.374  000.042: require('null-ls.helpers')
078.793  000.067  000.067: require('null-ls.methods')
078.795  000.113  000.046: require('null-ls.diagnostics')
078.799  000.157  000.044: require('null-ls.sources')
078.840  000.040  000.040: require('null-ls.builtins')
078.842  000.967  000.285: require('null-ls')
078.883  000.040  000.040: require('null-ls.builtins.formatting.stylua')
078.925  000.040  000.040: require('null-ls.builtins.formatting.clang_format')
078.966  000.039  000.039: require('null-ls.builtins.formatting.black')
079.005  000.038  000.038: require('null-ls.builtins.formatting.isort')
079.042  000.036  000.036: require('null-ls.builtins.formatting.shfmt')
079.095  000.052  000.052: require('null-ls.builtins.formatting.prettier')
079.372  000.050  000.050: require('null-ls.client')
081.783  000.139  000.139: sourcing /Users/v/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
082.121  000.049  000.049: require('telescope._extensions')
082.123  000.327  000.278: require('telescope')
082.258  000.043  000.043: require('plenary.strings')
082.300  000.042  000.042: require('telescope.deprecated')
082.414  000.057  000.057: require('telescope.log')
082.525  000.053  000.053: require('plenary.job')
082.563  000.037  000.037: require('telescope.state')
082.566  000.151  000.061: require('telescope.utils')
